Row.names	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	y
CMC_PITT_157	75.3822309778345	-10.8817335097628	-2.14038913284145	1.33416295109599	-0.644007399158261	17.2882274363909	-5.6436113601044	-3.54659398351095	0
CMC_PITT_158	68.7951030032666	-18.7603888814486	3.28856173704634	10.5449469565289	8.05143464551261	17.612624438964	-8.12307251779508	-2.52134635338139	0
CMC_PITT_159	84.7207478603763	-4.39583174580948	5.26283151422212	7.3638128710596	6.03597919031525	18.1967970482232	-1.82400953157844	-4.15149369130745	0
CMC_PITT_160	6.71895124061773	64.8668458194319	-19.5327502616795	-1.99227419302158	-41.9827831824102	30.6586103131695	-8.4084174787995	8.90852080466648	0
CMC_PITT_161	74.8014764040289	-9.46984268462804	8.8153502790852	9.80727363867656	13.0822112165986	15.9457020419163	-3.71037494915874	-3.08890236094992	0
CMC_PITT_162	93.6001222691935	-18.7074668723973	6.67331025717398	7.05291938827151	14.8313484352549	18.4964644553171	-3.13007562873088	-2.24606955548467	0
CMC_PITT_163	65.4216273783846	-9.49734522308915	7.86880161778563	12.5819191649045	13.8854930692027	18.027819772805	-5.91066801000377	-1.55521575681916	0
CMC_PITT_164	102.411109359366	-15.3815847001449	4.20891653941069	3.96658695180323	8.90530566900346	16.4190513724602	-2.22338018348116	-3.37343140023835	0
CMC_PITT_165	90.5935891932924	-16.7943224939635	4.99897414553952	6.43302949170013	9.8923449262739	17.6388008753592	-3.51892543682344	-2.26887489932378	0
CMC_PITT_166	42.3213478029351	-8.67334162131448	20.4925014674537	18.523685933329	31.6818646853997	18.6251933057508	-3.82656245366215	-0.452942963354821	0
CMC_PITT_167	57.291971795575	14.7736156317889	-1.71231775841627	4.8816395308822	0.055820686836729	20.6799842349039	-6.05892064050355	1.21539165893218	0
CMC_PITT_168	103.007331286051	-22.2854867628098	-4.09694213395008	-0.481861241496038	1.15652945208582	16.1378491620883	-4.46229059421197	-3.99961851590622	0
