subj.id PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17
sub-1072 38.8822 -41.134 49.1995 44.535 6.3002 9.9381 12.1931 -17.3465 3.0274 17.713 5.1973 32.8153 24.3792 16.4375 16.1557 -4.0718 13.749
sub-1073 -38.3592 -56.2855 7.506 -35.9526 17.6509 14.9783 -12.2858 44.1472 17.7094 -19.2135 25.3048 46.0936 15.8158 -2.1919 -1.0363 -39.9527 16.5924
sub-1074 32.7922 -9.7126 35.481 9.8319 -15.3902 75.5738 -15.8955 -16.349 -28.4586 13.4843 -9.2976 13.8931 -9.0886 0.079 16.2282 29.1166 -3.6718
sub-1075 23.1114 2.8033 30.0239 -74.7512 20.3398 19.034 0.2472 -21.6107 -27.9345 -46.6695 11.6233 40.0458 11.9868 -15.8202 -5.1611 72.4915 -23.4638
sub-1076 27.2926 -7.3218 -30.6589 31.8455 28.4451 -49.4102 -34.0523 24.6806 97.67 -17.5559 -3.7229 -19.303 26.2275 5.6814 34.5733 21.7479 -2.2383
sub-1077 -12.4987 -33.4737 23.4526 23.9906 -30.4159 -25.3669 27.5106 31.1796 0.029 -7.1039 54.1877 -26.8923 -20.2138 -6.5941 7.7493 15.3484 28.2024
sub-1078 15.848 -42.5461 -19.8529 58.7132 -84.5832 -44.4534 -28.529 -20.7087 5.3732 -0.2882 -20.8858 14.0629 32.0038 51.9103 -7.1715 41.9181 -3.5321
sub-1079 29.2327 30.3581 -50.3014 -59.441 -105.3141 64.2727 6.1326 -21.7421 4.3765 -17.9126 22.3546 -29.9171 9.5384 17.7361 -19.6287 -31.43 36.1583
sub-1080 5.8815 -77.1256 8.8781 9.0214 8.1468 1.5548 -10.7402 -7.59 -26.8131 0.8635 0.9697 9.7585 22.0329 3.9673 2.614 -20.9072 0.4019
sub-1081 42.6584 -45.892 -28.7706 13.482 -6.3214 -6.7128 -4.8178 26.1532 -18.0974 -14.7496 -32.2784 -35.8474 -96.9078 36.4953 13.3658 6.6568 -17.7587
sub-1082 16.0844 -26.8051 40.2007 -2.4024 -36.6378 16.5519 56.0449 35.3278 69.7941 -3.7749 -13.484 24.4942 -21.3246 2.8887 -1.8185 -21.7979 36.5316
sub-1083 -4.6939 73.6689 73.7741 34.7669 25.5917 53.6647 -30.3901 12.4566 8.5644 8.7538 61.6885 -39.7514 3.2043 16.0962 1.0015 -2.351 11.0042
sub-1085 -93.7145 -0.0424 31.9674 41.4067 1.3798 -21.8462 40.9306 41.8198 10.7659 29.3213 2.7096 12.7223 -4.7821 -6.9233 -26.8848 51.7388 6.3684
sub-1086 -69.1403 -99.335 67.6777 -5.9833 -3.1134 9.8909 16.3503 -16.9816 36.9666 19.88 -5.0026 27.659 12.2532 -2.0783 -6.429 10.2874 -5.1928
sub-1087 21.5862 -30.1483 -64.1611 -37.9854 17.1782 -2.472 -21.8604 -2.5154 -34.2439 7.1153 -9.2903 -1.8756 -11.6633 -46.0565 14.3561 -7.1815 15.0201
sub-1088 -23.8469 -64.5591 29.3765 3.2371 -51.4534 -12.8932 42.2366 -8.8997 6.9813 35.9027 43.5119 5.8613 21.2092 -21.35 -32.7318 -22.4203 42.8908
sub-1089 139.3514 50.3067 -15.3668 58.3517 46.3437 22.0575 -1.466 30.0816 -17.8047 -4.2464 3.589 19.4878 13.5641 19.1053 44.5477 4.1255 -4.3331
sub-1091 47.8019 -5.3896 39.2327 25.7663 39.8879 7.1802 5.9386 50.2062 27.255 -38.2799 16.5071 -11.2842 -33.9743 -21.0834 -8.7115 -0.0197 -31.5363
sub-1093 -104.0685 59.7324 -2.3186 -20.2175 -30.0691 -55.3626 5.8507 43.3357 89.7777 1.6032 20.738 -9.0156 27.7492 -56.1896 -5.0886 -43.7914 -1.0134
sub-1094 -26.0067 176.6615 89.1456 33.8405 8.1521 122.9703 -21.7452 38.7727 44.3402 67.0406 -4.3695 2.6251 -49.6787 -54.7386 -11.3548 -52.1179 4.8907
sub-1095 2.9204 -12.232 5.6797 -5.991 19.9576 33.2984 -36.1585 59.3411 -24.668 28.9764 -10.6123 41.19 -9.4992 8.244 51.08 14.0938 1.2945
sub-1098 -39.8651 33.5446 79.5554 -4.9691 5.2905 -16.0685 11.4467 19.2898 -16.3365 -4.3842 -0.7467 -12.5301 -13.6122 -13.2344 41.3355 35.4602 7.1544
sub-1099 5.5389 -65.833 59.5716 -11.762 -5.9302 1.6792 41.0146 -33.6088 1.1608 -22.1071 15.8994 30.3078 34.5495 7.6926 10.5913 20.0311 21.6949
sub-1105 -34.6835 -4.5406 -76.1007 -83.21 -68.5116 -7.8912 -114.0949 6.9158 -49.1597 -19.6881 6.9334 58.0027 -25.7629 -21.4778 -6.5136 61.3552 25.4484
sub-2001 -25.2851 -2.9724 -55.6859 -64.4789 180.9278 4.2138 76.2916 -79.9584 10.883 32.8492 -43.6298 -90.6704 -43.761 135.9696 -73.1596 51.5714 73.6195
sub-2004 6.4867 -12.5653 -1.4985 48.326 36.964 28.0157 -92.2555 -10.7511 27.9449 -3.3662 -3.1057 -46.226 9.0917 -30.6991 28.3569 7.2775 10.8568
sub-2005 8.7343 -63.4579 16.3263 7.1753 -16.1463 30.2772 -1.2988 -36.9244 -25.2581 -1.6809 26.8235 -27.8687 -19.8631 11.8512 29.3081 21.4901 -50.8992
